review,rating,date,bank,source
very nice 100%,5,2026-05-13,CBE Bank,Google Play
Good to use,5,2026-05-12,CBE Bank,Google Play
cbe,1,2026-05-12,CBE Bank,Google Play
good,5,2026-05-12,CBE Bank,Google Play
Cbe,4,2026-05-11,CBE Bank,Google Play
best and secured,5,2026-05-11,CBE Bank,Google Play
best,5,2026-05-11,CBE Bank,Google Play
ok,5,2026-05-11,CBE Bank,Google Play
posetive,5,2026-05-10,CBE Bank,Google Play
good,5,2026-05-10,CBE Bank,Google Play
እ. በ. ጥ. ነው,5,2026-05-10,CBE Bank,Google Play
why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,3,2026-05-10,CBE Bank,Google Play
Gal✅😶‍🌫️,1,2026-05-10,CBE Bank,Google Play
good,5,2026-05-10,CBE Bank,Google Play
There is a a problem when updating the app,3,2026-05-09,CBE Bank,Google Play
Cbe,3,2026-05-09,CBE Bank,Google Play
good,5,2026-05-09,CBE Bank,Google Play
good,5,2026-05-09,CBE Bank,Google Play
this app is so functional for airtime for wallet and,5,2026-05-09,CBE Bank,Google Play
excellent service,5,2026-05-09,CBE Bank,Google Play
very amazing app,5,2026-05-09,CBE Bank,Google Play
It is usefull app,5,2026-05-09,CBE Bank,Google Play
smart app,4,2026-05-08,CBE Bank,Google Play
best,5,2026-05-08,CBE Bank,Google Play
"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",1,2026-05-08,CBE Bank,Google Play
CBE it's my excellent choice,5,2026-05-08,CBE Bank,Google Play
Good,5,2026-05-08,CBE Bank,Google Play
fast and time saving...,5,2026-05-08,CBE Bank,Google Play
ok,5,2026-05-08,CBE Bank,Google Play
so good,5,2026-05-07,CBE Bank,Google Play
"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",3,2026-05-07,CBE Bank,Google Play
iam happy excellent app,5,2026-05-07,CBE Bank,Google Play
yesisgood,5,2026-05-07,CBE Bank,Google Play
ok,5,2026-05-07,CBE Bank,Google Play
is not work properly !!,3,2026-05-06,CBE Bank,Google Play
አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,5,2026-05-06,CBE Bank,Google Play
When I update this app there isn't working,1,2026-05-06,CBE Bank,Google Play
thanks you so much 👍 okay I am going to be like in,5,2026-05-05,CBE Bank,Google Play
Best ever,1,2026-05-05,CBE Bank,Google Play
features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,4,2026-05-05,CBE Bank,Google Play
best,5,2026-05-05,CBE Bank,Google Play
goood g,5,2026-05-05,CBE Bank,Google Play
I like so much,5,2026-05-05,CBE Bank,Google Play
best,4,2026-05-04,CBE Bank,Google Play
good,5,2026-05-04,CBE Bank,Google Play
good,5,2026-05-04,CBE Bank,Google Play
good,5,2026-05-04,CBE Bank,Google Play
vary good app,5,2026-05-04,CBE Bank,Google Play
i like it,5,2026-05-04,CBE Bank,Google Play
Wonderful App ❤️❤️❤️ I love it,5,2026-05-04,CBE Bank,Google Play
"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",2,2026-05-04,CBE Bank,Google Play
nice app.,5,2026-05-04,CBE Bank,Google Play
This app has never been efficient at all,1,2026-05-04,CBE Bank,Google Play
በእውነት የሚገርም app ነው ነገሮችን ሁሉ ቀለል ያደርጋል,5,2026-05-03,CBE Bank,Google Play
best app,5,2026-05-03,CBE Bank,Google Play
good,3,2026-05-03,CBE Bank,Google Play
good,5,2026-05-03,CBE Bank,Google Play
fixed problem,4,2026-05-03,CBE Bank,Google Play
easy to use but hard to find easily,4,2026-05-03,CBE Bank,Google Play
nice,5,2026-05-03,CBE Bank,Google Play
Good Application,5,2026-05-02,CBE Bank,Google Play
Good app,1,2026-05-02,CBE Bank,Google Play
መስተካከል አለብት ብዩ አስታየት የም ሰጠው አካውንንት በስም ሲፈለግ mr ብሎ ቀጣይ ስም ለመፃፍ እስፔስም አይፈቅድ ቀጣዩ ፊደልም ሲፃፍ አይፅፍም ይሄ ቢስተካከል ይበልጥ ቀላል የረገዋል ብዩ አስበለው,4,2026-05-02,CBE Bank,Google Play
"Easy, secure and user friend",5,2026-05-01,CBE Bank,Google Play
hiote tegayede,5,2026-05-01,CBE Bank,Google Play
nice,5,2026-05-01,CBE Bank,Google Play
why it alaways asked me to update every second when I log in.,1,2026-05-01,CBE Bank,Google Play
good,5,2026-05-01,CBE Bank,Google Play
pls update my cbe mobile banking,5,2026-05-01,CBE Bank,Google Play
misraqe,1,2026-04-30,CBE Bank,Google Play
excellent app,5,2026-04-30,CBE Bank,Google Play
usefull app,5,2026-04-30,CBE Bank,Google Play
nice bank,4,2026-04-30,CBE Bank,Google Play
good 👍,5,2026-04-30,CBE Bank,Google Play
it's no functional problem,5,2026-04-30,CBE Bank,Google Play
Tamam Yunus Guddata,5,2026-04-30,CBE Bank,Google Play
good,5,2026-04-30,CBE Bank,Google Play
It's not working after the update it doesn't open at all,1,2026-04-30,CBE Bank,Google Play
good,3,2026-04-29,CBE Bank,Google Play
"It is so good,and easy to use.",5,2026-04-29,CBE Bank,Google Play
good service,5,2026-04-29,CBE Bank,Google Play
Great,5,2026-04-29,CBE Bank,Google Play
nice app thanks,5,2026-04-29,CBE Bank,Google Play
Good,5,2026-04-29,CBE Bank,Google Play
good,5,2026-04-29,CBE Bank,Google Play
CBE not compare to others,5,2026-04-29,CBE Bank,Google Play
excellent app,5,2026-04-29,CBE Bank,Google Play
nice,5,2026-04-29,CBE Bank,Google Play
it's better than before,4,2026-04-28,CBE Bank,Google Play
go ahead,5,2026-04-28,CBE Bank,Google Play
I found that when i am using safaricom network the app keeps crashing a lot and not working and as soon as i change the network it will work smoothly so make is a lot compatible with the safaricom network service.,3,2026-04-28,CBE Bank,Google Play
good,5,2026-04-28,CBE Bank,Google Play
"The app forcefully made me an update, since then every time I try to make a payment it keeps bugging and failing non stop. please fix that . this is a big company not a start up .",1,2026-04-28,CBE Bank,Google Play
worst apk for a big bank,1,2026-04-28,CBE Bank,Google Play
